,currency,rates
0,AED,3.562548
1,AFN,86.236065
2,ALL,116.436205
3,AMD,404.663861
4,ANG,1.759056
5,AOA,418.184313
6,ARS,141.502287
7,AUD,1.484585
8,AWG,1.745852
9,AZN,1.65305
10,BAM,1.957784
11,BBD,1.970767
12,BDT,100.62963
13,BGN,1.956845
14,BHD,0.365765
15,BIF,2015.671672
16,BMD,0.969918
17,BND,1.39239
18,BOB,6.744431
19,BRL,5.106353
20,BSD,0.976074
21,BTC,5.1444712000000005e-05
22,BTN,78.9563
23,BWP,12.962036
24,BYN,2.4640589999999998
25,BYR,19010.392671
26,BZD,1.967363
27,CAD,1.317357
28,CDF,1983.482408
29,CHF,0.9509759999999999
30,CLF,0.033416999999999995
31,CLP,922.064235
32,CNY,6.913966
33,COP,4260.552098
34,CRC,615.574353
35,CUC,0.969918
36,CUP,25.702827
37,CVE,110.375156
38,CZK,24.610684
39,DJF,173.763419
40,DKK,7.436546
41,DOP,51.978876
42,DZD,136.392121
43,EGP,18.997105
44,ERN,14.54877
45,ETB,51.563361
46,EUR,1.0
47,FJD,2.218057
48,FKP,0.838587
49,GBP,0.8955400000000001
50,GEL,2.740032
51,GGP,0.838587
52,GHS,9.809190000000001
53,GIP,0.838587
54,GMD,53.102856
55,GNF,8433.917182
56,GTQ,7.651136
57,GYD,204.203799
58,HKD,7.61357
59,HNL,24.095047
60,HRK,7.523851
61,HTG,115.660431
62,HUF,405.740985
63,IDR,14657.497709
64,ILS,3.405174
65,IMP,0.838587
66,INR,78.811169
67,IQD,1424.551725
68,IRR,41076.026828
69,ISK,139.745485
70,JEP,0.838587
71,JMD,148.309015
72,JOD,0.6876979999999999
73,JPY,139.066359
74,KES,117.710277
75,KGS,79.111945
76,KHR,4019.311336
77,KMF,493.34849
78,KPW,872.926237
79,KRW,1379.96034
80,KWD,0.300626
81,KYD,0.8133119999999999
82,KZT,470.309376
83,LAK,15801.069716
84,LBP,1475.772845
85,LKR,351.374177
86,LRD,149.367136
87,LSL,17.409889
88,LTL,2.863915
89,LVL,0.5866939999999999
90,LYD,4.887778
91,MAD,10.609188
92,MDL,18.974237
93,MGA,4126.208021
94,MKD,61.676554
95,MMK,2049.682415
96,MNT,3127.444369
97,MOP,7.891476
98,MRO,346.260557
99,MUR,43.20978
100,MVR,14.985024
101,MWK,1001.840853
102,MXN,19.594114
103,MYR,4.440771
104,MZN,61.909677
105,NAD,17.410021
106,NGN,417.598434
107,NIO,35.079009
108,NOK,10.277837
109,NPR,126.330079
110,NZD,1.687177
111,OMR,0.37345799999999996
112,PAB,0.975974
113,PEN,3.793686
114,PGK,3.483376
115,PHP,56.982376
116,PKR,233.517354
117,PLN,4.740863
118,PYG,6848.835245
119,QAR,3.531476
120,RON,4.939201
121,RSD,117.413392
122,RUB,56.134039
123,RWF,1032.540492
124,SAR,3.645727
125,SBD,7.930778
126,SCR,13.941641
127,SDG,560.124051
128,SEK,10.946848
129,SGD,1.3867639999999999
130,SHP,1.335964
131,SLL,14834.89564
132,SOS,550.425311
133,SRD,26.639797
134,STD,20075.344207
135,SVC,8.539522999999999
136,SYP,2436.948364
137,SZL,17.448013
138,THB,36.44515
139,TJS,9.736017
140,TMT,3.4044119999999998
141,TND,3.197762
142,TOP,2.325814
143,TRY,17.872839
144,TTD,6.639026
145,TWD,30.848272
146,TZS,2276.121605
147,UAH,36.047176
148,UGX,3731.42402
149,USD,0.969918
150,UYU,39.875797
151,UZS,10746.515191
152,VND,22996.755624
153,VUV,115.383265
154,WST,2.643587
155,XAF,656.612309
156,XAG,0.051509
157,XAU,0.00059
158,XCD,2.621252
159,XDR,0.757756
160,XOF,656.612309
161,XPF,119.833733
162,YER,242.843251
163,ZAR,17.405469
164,ZMK,8730.435467
165,ZMW,15.616586
166,ZWL,312.313198
